ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE
79.2,2124.0,61.0,-1.6,24.77,48.0,34.9,66.7
78.4,2617.0,44.0,-4.7,30.96,60.0,36.1,68.2
42.0,3005.0,35.0,-10.2,18.58,64.0,32.2,75.7
37.3,3156.0,63.0,0.0,18.38,65.0,32.5,75.3
76.1,1798.0,47.0,3.1,19.77,67.0,33.3,66.3
37.6,1818.0,32.0,4.7,9.99,65.0,28.6,72.5
32.2,1765.0,35.0,1.6,8.33,63.0,27.1,74.1
39.2,1759.0,33.0,3.9,9.78,67.0,28.6,72.5
32.5,1801.0,19.0,-4.7,8.58,63.0,27.1,74.1
22.7,959.0,51.0,-0.8,4.03,22.0,20.4,60.8
100.0,2871.0,70.0,0.0,48.21,43.0,42.0,65.9
79.6,2223.0,48.0,-3.9,25.04,50.0,34.9,67.5
56.5,2512.0,40.0,-7.0,20.41,52.0,33.3,71.8
27.8,2555.0,37.0,-1.6,12.31,51.0,29.8,79.2
46.3,2529.0,21.0,-10.9,17.78,37.0,32.9,73.7
24.7,1668.0,70.0,4.7,11.31,40.0,31.0,63.1
87.8,1998.0,74.0,0.8,26.51,44.0,35.7,66.3
80.0,2419.0,19.0,-10.2,24.71,41.0,34.5,67.5
62.7,1963.0,50.0,3.9,17.88,45.0,32.5,69.0
36.9,2341.0,24.0,-2.3,11.71,51.0,29.8,72.9
32.2,2565.0,18.0,3.9,12.5,55.0,30.2,77.3
18.4,1187.0,28.0,11.7,3.23,17.0,18.8,61.2
63.1,893.0,66.0,6.2,9.22,23.0,27.8,62.7
67.5,1506.438032627222,78.0,-0.8,8.37,27.0,29.0,54.1
85.9,1126.0,68.0,-3.9,13.77,39.0,31.4,58.8
77.3,1354.0,47.0,-6.2,15.36,44.0,31.8,63.1
45.1,1479.0,43.0,-2.3,9.2,46.0,27.5,69.8
53.3,1572.0,36.0,-4.7,12.38,50.0,30.2,68.6
81.2,1697.0,50.0,3.1,20.01,51.0,33.3,65.9
54.1,1692.0,19.0,-2.3,13.39,49.0,30.6,69.0
18.4,1526.0,20.0,3.1,4.04,30.0,21.6,62.7
39.2,853.0,45.0,-7.8,4.16,19.0,20.4,65.5
98.0,1051.0,59.0,3.9,14.84,29.0,32.9,54.5
63.9,1527.0,35.0,-7.0,14.12,34.0,31.0,67.1
43.1,1680.0,20.0,0.8,10.81,31.0,29.4,71.8
