ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon
90.6,0.8509200550678684,0.1807533155792566,0.8509200550678684,0.2199133721695052,2562.0,0.8986349180577654,0.1236948775553947,0.8986349180577654,0.0928289309739862,78.0,0.889958934152552,0.1458717794304604,0.889958934152552,0.1436555509928455,4.7,0.9411821503435328,0.0843432175517045,0.9411821503435328,0.0927224816803859,7.21,0.9243829177841486,0.1028714522888216,0.9243829177841486,0.119354095977931,41.0,0.7715763595094817,0.2448475234958844,0.7715763595094817,0.1160299032227363,25.5,0.9056466228471878,0.1319936754103743,0.9056466228471878,0.1335553511412079
100.0,0.8570015464192925,0.1781215613087811,0.8570015464192925,0.2057071531352818,2222.0,0.9035488173801252,0.1207918494746671,0.9035488173801252,0.0888175095842166,76.0,0.8961180481179606,0.1398669496930419,0.8961180481179606,0.125576958061977,3.1,0.9339114925133758,0.09188566793225,0.9339114925133758,0.1060092209583934,33.37,0.927271412594466,0.0992628307590866,0.927271412594466,0.1190977473401314,50.0,0.7715763595094817,0.2448475234958844,0.7715763595094817,0.1160299032227363,37.3,0.907522415401484,0.1302605309960115,0.907522415401484,0.1331113422760879
90.6,0.8551257538649963,0.1796223746221872,0.8551257538649963,0.2083328401228955,1726.0,0.9140900943653736,0.1039562762749052,0.9140900943653736,0.0988948603069413,63.0,0.8794789269905842,0.1598857241885951,0.8794789269905842,0.1367111400380613,-5.5,0.9339114925133758,0.0918856679322514,0.9339114925133758,0.1060092209583934,23.28,0.9148543430549214,0.1182163963144874,0.9148543430549214,0.1090084525213658,56.0,0.7715763595094817,0.2448475234958844,0.7715763595094817,0.1160299032227363,34.9,0.9031402523816444,0.1337277654461464,0.9031402523816444,0.1398435135973791
72.2,0.8551257538649963,0.1796223746221872,0.8551257538649963,0.203631977097788,1913.0,0.9068194365352168,0.111085712003774,0.9068194365352168,0.1133716589874487,52.0,0.8745650276682244,0.1624569918253285,0.8745650276682244,0.1454811969958358,-0.8,0.9233702155281276,0.1092785542815682,0.9233702155281276,0.0883948000320045,20.26,0.901042446914582,0.1376500099099105,0.901042446914582,0.1112339983851696,60.0,0.7662184343615892,0.2454545317662612,0.7662184343615892,0.119860063176257,33.3,0.8998696332265532,0.1364732767754499,0.8998696332265532,0.1508765760435907
60.4,0.8490442625135722,0.1822320948152086,0.8490442625135722,0.2150267217838643,2017.0,0.8995487787050596,0.1180875643371747,0.8995487787050596,0.1266583982654562,38.0,0.8671606990597669,0.1667269522548395,0.8671606990597669,0.1555588139296883,-6.2,0.918605928163514,0.1146390959445158,0.918605928163514,0.0964682452204333,18.0,0.8928474289628694,0.144849357877924,0.8928474289628694,0.1358679763097322,61.0,0.7593806712252251,0.2463698192901112,0.7593806712252251,0.1191357543049777,32.5,0.8908832942741076,0.1440137556772714,0.8908832942741076,0.1771751146340233
34.9,0.8376959433943649,0.1892306801467666,0.8376959433943649,0.2342401228774947,2016.0,0.8995487787050598,0.1180875643371754,0.8995487787050598,0.119085887855902,28.0,0.8563149203437294,0.1740847557445536,0.8563149203437294,0.1676869848003192,7.0,0.9080646511782656,0.1314481078224809,0.9080646511782656,0.0972838288066202,10.44,0.8900202039758325,0.1463187708999139,0.8900202039758325,0.1456935281134208,59.0,0.7564921764149078,0.2486389453215124,0.7564921764149078,0.1225173794690939,29.0,0.8812051075871343,0.1516233227066398,0.8812051075871343,0.2012855213832633
26.7,0.8287755588759235,0.1932025817550633,0.8287755588759235,0.2429107339312724,1932.0,0.8918959965301287,0.1311046224703382,0.8918959965301287,0.1118189832528653,19.0,0.8478550960348393,0.1783201455101844,0.8478550960348393,0.1800562190184822,0.0,0.9099404437325616,0.1297077621787594,0.9099404437325616,0.0927578372744645,7.13,0.8726892351139284,0.1662747037277942,0.8726892351139284,0.1602273373194943,54.0,0.7440751068753632,0.2610543115725297,0.7440751068753632,0.1240114888230368,25.9,0.8709122841683593,0.1592133001404935,0.8709122841683593,0.215982404538204
38.8,0.8316640536862409,0.1903510843291224,0.8316640536862409,0.237838296185098,793.0,0.8842432143551978,0.1438810588372537,0.8842432143551978,0.1148290336959146,34.0,0.8497308885891355,0.1768359054117529,0.8497308885891355,0.1738612466394319,-1.6,0.8993991667473136,0.1461567231865828,0.8993991667473136,0.0791927133525109,4.13,0.8652849065054706,0.1704971046937369,0.8652849065054706,0.173151930747529,7.0,0.7459508994296593,0.2600631246184654,0.7459508994296593,0.1289090550762595,20.4,0.8629550002626392,0.16361745355804,0.8629550002626392,0.2290461300711748
39.2,0.8335398462405371,0.188937458555938,0.8335398462405371,0.2258705285569539,788.0,0.8737019373699495,0.1596044845783185,0.8737019373699495,0.1212207093030801,33.0,0.8646543285942235,0.158761843302046,0.8646543285942235,0.1653567855912348,2.3,0.8844757267422257,0.165396869298124,0.8844757267422257,0.0736641183741927,4.44,0.8638900799046755,0.1714128588930488,0.8638900799046755,0.1729645367313365,0.0,0.7493816300167583,0.2589988926030283,0.7493816300167583,0.1278199139368797,20.8,0.8629550002626392,0.16361745355804,0.8629550002626392,0.2236576982775165
87.5,0.8302692270854459,0.1911760942912549,0.8302692270854459,0.2281316611786041,1512.0,0.8737019373699495,0.1596044845783185,0.8737019373699495,0.1159009659199011,75.0,0.8617658337839061,0.1618839166752662,0.8617658337839061,0.1678660828547259,0.0,0.872058657202681,0.1824088679654816,0.872058657202681,0.0655219847752848,23.04,0.8638900799046755,0.1714128588930488,0.8638900799046755,0.1729645367313365,22.0,0.7617986995563029,0.2464009712758628,0.7617986995563029,0.1243786433630792,35.3,0.8673371632824787,0.1605144790306002,0.8673371632824787,0.2123427911096314
