ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,18.0,1666.0,20.0,0.0,4.33,29.0,22.0,63.1,0.6688305113400171,0.3843054634323964,0.6688305113400171
82.0,40.0,770.0,32.0,-0.8,4.72,20.0,22.0,66.7,0.6694062132300649,0.3845314172094648,0.6694062132300649
82.0,37.6,792.0,35.0,-8.6,4.24,0.0,20.4,56.1,0.6733662765406756,0.3822383800382128,0.6733662765406756
82.0,38.0,808.0,32.0,0.0,4.26,0.0,20.4,53.7,0.6764236538725313,0.3811772229775837,0.6764236538725313
82.0,68.6,1291.0,22.0,3.1,10.33,16.0,27.5,55.3,0.6782339564721931,0.3798913987066536,0.6782339564721931
83.0,58.4,1495.0,40.0,-1.6,13.22,24.0,30.6,66.7,0.6743932570044875,0.3837660365481152,0.6743932570044875
83.0,58.4,2103.0,32.0,-7.0,18.51,26.0,32.5,69.4,0.6761376910616487,0.3831678457653721,0.6761376910616487
83.0,41.2,2060.0,18.0,-0.8,12.81,20.0,30.2,72.2,0.6775172953892482,0.3816593560075141,0.6775172953892482
83.0,16.9,1362.0,50.0,7.8,3.9,17.0,23.1,61.2,0.6819026006973481,0.380805913474938,0.6819026006973481
83.0,65.1,1595.0,72.0,0.0,15.36,33.0,33.3,67.5,0.6836824048792102,0.3805551628938919,0.6836824048792102
83.0,22.4,2745.0,71.0,3.9,7.87,43.0,26.3,68.2,0.6862385850028336,0.3791221388429593,0.6862385850028336
83.0,88.2,2226.0,60.0,-0.8,29.3,52.0,36.5,67.1,0.6864278256328111,0.379052863213562,0.6864278256328111
84.0,60.0,2601.0,47.0,-2.3,22.75,55.0,34.1,69.8,0.686214481092477,0.379135820115821,0.686214481092477
84.0,52.5,2731.0,17.0,0.0,21.54,54.0,33.7,72.5,0.6886211791216725,0.378370547102193,0.6886211791216725
