ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
80.0,94.5,2128.0,19.0,-8.6,30.35,39.0,36.9,64.3,0.7135766528442635,0.35878782951315935,0.7135766528442635
80.0,40.0,806.0,36.0,-7.0,4.94,23.0,21.6,67.1,0.7087996258222468,0.36185623523545996,0.7087996258222468
81.0,81.2,1188.0,76.0,8.6,15.08,33.0,32.2,59.2,0.7087014283706373,0.3616652519544269,0.7087014283706373
81.0,92.5,1851.0,25.0,1.6,26.49,42.0,36.1,64.3,0.7075138988418073,0.36213507757153457,0.7075138988418073
82.0,35.7,828.0,36.0,0.0,4.02,47.0,20.4,56.5,0.7084649666231474,0.36232847205737745,0.7084649666231474
83.0,40.0,804.0,34.0,-5.5,4.47,43.0,20.8,58.0,0.7078778401424322,0.36238766444838705,0.7078778401424322
83.0,38.4,768.0,35.0,-7.0,4.36,33.0,20.8,56.5,0.7071978616878262,0.3623648876366322,0.7071978616878262
82.0,40.4,781.0,32.0,-7.0,4.2,27.0,20.8,57.6,0.7061005369570112,0.36251590433178477,0.7061005369570112
81.0,44.3,1337.0,38.0,6.2,8.9,23.0,27.5,67.5,0.7009212725418416,0.3655986061733483,0.7009212725418416
80.0,32.2,818.0,34.0,4.7,4.16,2.0,20.4,65.1,0.7053224358868115,0.36184476813653965,0.7053224358868115
79.0,97.3,716.0,39.0,-0.8,5.54,4.0,24.7,58.8,0.7055239357391117,0.36139471553779834,0.7055239357391117
79.0,40.0,878.0,42.0,-1.6,4.97,1.0,21.6,53.3,0.705386675387266,0.36159636112137367,0.705386675387266
79.0,73.3,681.0,46.0,-3.1,7.79,13.0,27.1,57.6,0.7006106467992885,0.3651254319711111,0.7006106467992885
79.0,16.5,1148.0,45.0,-0.8,2.37,14.0,17.3,65.1,0.7007362831313079,0.3655649173240331,0.7007362831313079
79.0,46.3,1214.0,38.0,-2.3,8.19,15.0,22.4,60.4,0.6990830063446585,0.3660012940005526,0.6990830063446585
80.0,55.3,754.0,53.0,-0.8,5.09,18.0,22.0,51.0,0.6950990599921248,0.3677287485081743,0.6950990599921248
80.0,73.7,1018.0,65.0,-0.8,11.83,28.0,30.6,56.9,0.695889568857053,0.3666177699823304,0.695889568857053
81.0,79.2,1474.0,62.0,-6.2,17.57,37.0,32.5,64.3,0.6970785371401282,0.36597336388999785,0.6970785371401282
82.0,36.9,1178.0,46.0,1.6,8.3,33.67127381397086,27.1,62.4,0.6987431945181077,0.3662104152099728,0.6987431945181077
82.0,58.4,1257.0,47.0,4.7,11.04,40.0,29.0,65.1,0.6978546911394001,0.3663296510755523,0.6978546911394001
82.0,14.1,1264.0,31.0,-1.6,3.38,39.0,18.8,71.8,0.6976054740235623,0.3665166411290436,0.6976054740235623
82.0,37.3,796.0,31.0,-6.2,4.15,39.0,20.4,55.7,0.6939237610047246,0.367628060009785,0.6939237610047246
82.0,34.9,1506.3681967612322,33.0,-4.7,4.13,39.0,20.4,60.0,0.6898470851704868,0.3694635991377445,0.6898470851704868
81.0,35.3,820.0,33.0,-0.8,3.98,39.0,20.0,54.5,0.6834137829408684,0.3740430033074917,0.6834137829408684
81.0,37.3,808.0,32.0,-0.8,4.24,40.0,20.4,54.1,0.6803028881045268,0.37485297498103065,0.6803028881045268
81.0,32.2,823.0,43.0,-0.8,3.42,34.0,17.6,56.9,0.6758024243991118,0.37745303492465915,0.6758024243991118
81.0,36.1,1506.3681967612322,34.0,-1.6,4.29,15.0,20.4,63.9,0.6721954260941957,0.3790760207204232,0.6721954260941957
81.0,38.8,778.0,33.0,-3.9,4.32,6.0,20.8,54.5,0.6705809929991507,0.379575443254606,0.6705809929991507
81.0,37.6,797.0,34.0,-3.9,4.36,2.0,20.4,58.4,0.6696779453325512,0.3797522904876244,0.6696779453325512
81.0,39.6,788.0,48.0,2.3,4.48,10.0,21.2,56.5,0.671098467976425,0.37988090744736497,0.671098467976425
81.0,61.2,1951.0,46.0,3.1,18.95,17.0,32.9,69.0,0.6657119977485235,0.3850151218873521,0.6657119977485235
82.0,55.7,1546.0,31.0,3.9,12.95,18.0,30.6,68.6,0.6646381115125076,0.3854723436521667,0.6646381115125076
82.0,42.4,730.0,34.0,5.5,4.52,13.0,20.8,59.6,0.6695726862054995,0.38269120345033214,0.6695726862054995
82.0,38.0,800.0,32.0,1.6,4.67,5.0,21.2,57.3,0.6695805548742375,0.3826820141411759,0.6695805548742375
82.0,39.2,801.0,34.0,0.0,4.48,5.0,20.8,56.1,0.6693266157221054,0.38265516142632033,0.6693266157221054
82.0,36.5,826.0,37.0,0.0,4.0,9.0,20.0,58.4,0.6697570518539976,0.3827579075757677,0.6697570518539976
