ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
90.6,2562.0,78.0,4.7,7.21,41.0,25.5,0.9286662391952608,0.0896252632995118,0.9286662391952608,0.1377132730021129
100.0,2222.0,76.0,3.1,33.37,50.0,37.3,0.9148543430549214,0.1098359044547226,0.9148543430549214,0.1382021158968571
90.6,1726.0,63.0,-5.5,23.28,56.0,34.9,0.9148543430549214,0.1098359044547236,0.9148543430549214,0.1382021158968571
72.2,1913.0,52.0,-0.8,20.26,60.0,33.3,0.9129785505006252,0.1116292956400496,0.9129785505006252,0.1317199201440488
60.4,2017.0,38.0,-6.2,18.0,61.0,32.5,0.8610015850943582,0.1744889241256975,0.8610015850943582,0.1561825277174679
34.9,2016.0,28.0,7.0,10.44,59.0,29.0,0.8623964116951534,0.1735830625027054,0.8623964116951534,0.1564266660480987
26.7,1932.0,19.0,0.0,7.13,54.0,25.9,0.8700491938700843,0.1614452004313623,0.8700491938700843,0.1640561023714075
38.8,793.0,34.0,-1.6,4.13,7.0,20.4,0.8700491938700843,0.1614452004313623,0.8700491938700843,0.1640561023714075
39.2,788.0,33.0,2.3,4.44,0.0,20.8,0.8686543672692891,0.1623835372805599,0.8686543672692891,0.1702850548526452
87.5,1512.0,75.0,0.0,23.04,22.0,35.3,0.8657658724589716,0.1655129633120864,0.8657658724589716,0.1944987085417518
93.7,2271.0,20.0,-5.5,32.26,35.0,37.3,0.8657658724589716,0.1655129633120867,0.8657658724589716,0.189868322182099
74.9,1802.0,55.0,-0.8,20.3,43.0,33.3,0.8307725807394084,0.1930910218014565,0.8307725807394084,0.2177806257837348
65.1,2227.0,30.0,-7.8,21.43,47.0,33.7,0.8392324050482983,0.1891626161544997,0.8392324050482983,0.1973697414650075
18.0,2254.0,35.0,0.0,6.1,41.0,24.3,0.835154743759248,0.1903216650651104,0.835154743759248,0.200376867379127
98.4,1937.0,69.0,5.5,28.56,46.0,36.9,0.8413138577246567,0.1851398717374758,0.8413138577246567,0.1928315781321441
86.3,2410.0,56.0,-7.0,27.71,55.0,35.7,0.844584476879748,0.1828282425822489,0.844584476879748,0.1889114087856154
24.3,2895.0,19.0,3.9,7.79,57.0,26.7,0.8468423937788182,0.1755613456781541,0.8468423937788182,0.2047177262846024
63.1,1535.0,39.0,7.8,14.43,56.0,31.4,0.8468423937788182,0.1755613456781541,0.8468423937788182,0.2047177262846024
46.7,1547.0,44.0,0.0,10.7,57.0,29.0,0.8423041722802163,0.1768849071372709,0.8423041722802163,0.2079079987787845
59.6,1562.0,50.0,4.7,13.52,59.0,31.0,0.8273807322751284,0.1940176991408764,0.8273807322751284,0.2126436320523287
51.8,1690.0,37.0,0.8,12.61,62.0,30.2,0.8197279501001975,0.2051102534253923,0.8197279501001975,0.215653682495378
43.5,1694.0,20.0,-0.8,10.48,61.0,29.0,0.8168394552898801,0.2078495280224846,0.8168394552898801,0.2149533249924584
18.4,1638.0,21.0,0.0,4.2,52.0,21.6,0.7969527343653522,0.224590604034264,0.7969527343653522,0.2189596217490951
19.2,1324.0,20.0,1.6,3.56,41.0,20.4,0.78721264619762,0.227786643575645,0.78721264619762,0.2340070076979237
22.0,1100.0,65.0,6.2,3.54,40.0,18.8,0.7901011410079375,0.2252737530575187,0.7901011410079375,0.2211640110739083
100.0,1132.0,20.0,3.1,16.28,43.0,33.7,0.7944833040277771,0.222919788642046,0.7944833040277771,0.2111654406717683
96.9,1732.0,49.0,1.6,23.58,51.0,34.9,0.7919769335622338,0.2240575181557657,0.7919769335622338,0.2072571816100537
17.3,1353.0,56.0,9.4,3.41,35.0,20.4,0.7901011410079375,0.2252737530575187,0.7901011410079375,0.2145240862130905
91.0,2228.0,81.0,-0.8,30.29,51.0,36.9,0.7901011410079375,0.2252737530575187,0.7901011410079375,0.2168337791532202
94.9,2642.0,20.0,0.0,36.56,54.0,38.0,0.7979654366213734,0.2232582647673912,0.7979654366213734,0.2047746119122773
22.0,881.0,31.0,-2.3,4.35,50.0,21.2,0.7979654366213734,0.2232582647673912,0.7979654366213734,0.2018123247230163
38.0,797.0,70.0,-12.5,4.09,51.0,20.0,0.8074940113506004,0.2114440706744266,0.8074940113506004,0.2183764478080413
20.4,1420.0,30.0,1.6,3.45,20.0,20.8,0.8199110808901449,0.196517656684179,0.8199110808901449,0.2183764478080413
39.6,784.0,32.0,-4.7,4.1,0.0,20.4,0.8151467935255313,0.2006328864675077,0.8151467935255313,0.2106203751269017
88.2,2431.0,84.0,5.5,7.35,32.0,25.5,0.8199110808901449,0.196517656684179,0.8199110808901449,0.2059195121017943
18.8,2366.0,71.0,4.7,6.71,44.0,24.3,0.819911080890145,0.1965176566841787,0.819911080890145,0.2111330724025009
78.8,2293.0,63.0,-9.4,27.37,52.0,35.7,0.8304523578753933,0.1824687815610361,0.8304523578753933,0.2129053621294069
20.4,1826.0,49.0,2.3,6.47,53.0,28.2,0.8749899454574095,0.1481748597635961,0.8749899454574095,0.1726294030777179
57.3,1775.0,50.0,-3.1,14.88,54.0,31.4,0.885835724173447,0.1402428948494717,0.885835724173447,0.1538033298574492
59.2,1780.0,35.0,-2.3,15.52,51.0,31.4,0.8961285475922222,0.1322403896446599,0.8961285475922222,0.1369337239842167
43.1,1682.0,47.0,3.9,10.83,53.0,30.2,0.9134595164541264,0.110927352342254,0.9134595164541264,0.1246034246358004
56.5,1790.0,32.0,-4.7,14.92,56.0,31.4,0.9167301356092176,0.1080342185140127,0.9167301356092176,0.1209055392130725
28.2,1890.0,20.0,0.0,6.68,55.0,23.5,0.9167301356092176,0.1080342185140126,0.9167301356092176,0.1228527004329302
34.1,1870.0,27.0,1.6,9.28,58.0,27.8,0.9134595164541264,0.1109273523422536,0.9134595164541264,0.1278669226214033
18.8,1921.0,28.0,3.1,5.32,56.0,23.1,0.9134595164541264,0.110927352342254,0.9134595164541264,0.1278669226214033
36.5,1892.0,33.0,1.6,10.44,58.0,29.0,0.9163480112644437,0.1073943456272441,0.9163480112644437,0.1214752470142378
19.2,1934.0,20.0,0.0,5.07,57.0,23.5,0.919236506074761,0.1038368541854097,0.919236506074761,0.1143832139041527
49.0,1659.0,57.0,-7.0,12.0,49.0,29.8,0.9253956200401696,0.0972890564482615,0.9253956200401696,0.1114683110168227
70.6,1650.0,55.0,-5.5,17.33,52.0,32.2,0.9206313326755562,0.1027256211452367,0.9206313326755562,0.1202293249738023
40.4,1730.0,20.0,-4.7,9.38,48.0,27.1,0.9158670453109424,0.1081007330191462,0.9158670453109424,0.1191196017469616
18.0,1546.0,21.0,0.0,4.1,37.0,21.2,0.9200890968987746,0.105337799272737,0.9200890968987746,0.1055852066851048
22.4,1100.0,30.0,-0.8,3.4,17.0,18.8,0.9172618719117376,0.1070012170558735,0.9172618719117376,0.1133156428791148
39.6,793.0,35.0,-2.3,4.06,1.0,20.4,0.912347972589378,0.1100422687622546,0.912347972589378,0.1233452922881962
40.0,802.0,33.0,1.6,4.39,0.0,20.8,0.9007939933481088,0.1261456319730177,0.9007939933481088,0.118551034914985
85.9,1202.0,57.0,0.0,16.54,18.0,32.5,0.9051761563679482,0.1226538437392386,0.9051761563679482,0.1228070989287231
