ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
21.2,2097.0,19.0,3.9,11.21,42.0,30.2,0.9315547340055785,0.09448927972768979,0.9315547340055785,0.11908843812820877
18.8,1932.0,29.0,1.6,5.27,31.0,23.1,0.9315547340055785,0.09448927972769013,0.9315547340055785,0.12139813106833852
42.7,724.0,33.0,3.9,4.36,12.0,20.8,0.9281240034184796,0.09694071843565763,0.9281240034184796,0.12343310444871397
40.4,796.0,34.0,1.6,4.37,0.0,20.8,0.919137664466034,0.10518782006495975,0.919137664466034,0.14070149170999868
46.7,861.0,59.0,-3.9,7.73,9.0,27.5,0.9162491696557166,0.10874061193261222,0.9162491696557166,0.1490403285370219
81.2,2357.0,63.0,0.0,30.85,23.0,36.9,0.9085963874807856,0.12211659965589908,0.9085963874807856,0.14478347437703445
79.6,2231.0,82.0,-4.7,17.59,38.0,32.5,0.9024372735153768,0.12835263050159162,0.9024372735153768,0.15473360411986634
54.9,3338.0,80.0,3.1,10.12,44.0,26.7,0.9005614809610808,0.13007698025719405,0.9005614809610808,0.14574217304371187
100.0,2303.0,94.0,-3.1,40.2,58.0,42.7,0.878084100389789,0.1630927702077884,0.878084100389789,0.15503692586520493
34.1,2472.0,18.0,0.0,7.84,69.0,24.7,0.8903410584973259,0.15327583177266987,0.8903410584973259,0.1097241880407501
100.0,2352.0,98.0,-5.5,40.15,73.0,41.2,0.9167301356092177,0.11643189350719343,0.9167301356092177,0.10645145394423139
72.2,2487.0,71.0,-0.8,26.19,77.0,34.9,0.9196186304195351,0.11988698469122869,0.9196186304195351,0.07152654238372512
85.5,2611.0,19.0,-9.4,30.65,79.0,36.1,0.9148543430549214,0.1251660716751234,0.9148543430549214,0.078340395120847
36.9,2426.0,24.0,6.2,13.05,71.0,30.6,0.9123479725893782,0.12694394709560866,0.9123479725893782,0.09058909766524395
18.0,2300.0,19.0,0.0,6.17,64.0,24.3,0.9089172420022792,0.12920808794393407,0.9089172420022792,0.10176944845803465
52.5,2167.0,47.0,-3.9,16.69,68.0,32.2,0.9027581280368704,0.13539886830133974,0.9027581280368704,0.11049293762328792
71.8,2297.0,56.0,1.6,24.04,71.0,34.5,0.9008823354825742,0.13710938128989145,0.9008823354825742,0.11324663942853763
34.5,2199.0,19.0,6.2,11.12,67.0,29.4,0.9008823354825742,0.13710938128989145,0.9008823354825742,0.11731770622799162
21.6,965.0,39.0,10.2,4.06,28.0,20.0,0.8918959965301286,0.13787989514449445,0.8918959965301286,0.17868013985554798
38.8,833.0,33.0,3.9,4.04,18.0,20.4,0.8822178098431555,0.14556834171253774,0.8822178098431555,0.19321394906162145
36.1,830.0,26.0,1.6,4.09,12.0,20.0,0.8748134812346976,0.15004179811212312,0.8748134812346976,0.2061385424896561
37.3,829.0,40.0,-6.2,4.26,8.0,20.4,0.8687319898832737,0.15297604004781565,0.8687319898832737,0.21948044839559008
42.7,1582.0,53.0,0.8,10.12,17.0,28.6,0.8687319898832737,0.15297604004781565,0.8687319898832737,0.21753328717573236
62.4,2739.0,68.0,-1.6,26.1,60.0,34.9,0.862572875917865,0.15864326019827735,0.862572875917865,0.22073041941890212
18.4,2404.0,78.0,5.5,6.41,63.0,30.6,0.85726635277647,0.16214840938268896,0.85726635277647,0.22886960995470568
100.0,2133.0,73.0,-6.2,32.09,66.0,37.6,0.8681121314925075,0.15462665307958143,0.8681121314925075,0.20508412736004913
52.9,2214.0,59.0,-4.7,6.94,64.0,24.3,0.871000626302825,0.15144956805354798,0.871000626302825,0.19272011412057335
